Mês 01 | Janela 2015 a 2019: Coef. angular: -39.84 mm/ano, Intercepto: 80532.60, R²: 0.2434
Mês 01 | Janela 2016 a 2020: Coef. angular: -54.90 mm/ano, Intercepto: 110961.52, R²: 0.4580
Mês 01 | Janela 2017 a 2021: Coef. angular: 17.36 mm/ano, Intercepto: -34917.40, R²: 0.4482
Mês 01 | Janela 2018 a 2022: Coef. angular: 31.70 mm/ano, Intercepto: -63888.20, R²: 0.9520
Mês 01 | Janela 2019 a 2023: Coef. angular: 33.12 mm/ano, Intercepto: -66759.00, R²: 0.9599
Mês 01 | Janela 2020 a 2024: Coef. angular: -3.72 mm/ano, Intercepto: 7696.68, R²: 0.0109
Mês 02 | Janela 2015 a 2019: Coef. angular: 47.22 mm/ano, Intercepto: -95113.62, R²: 0.5609
Mês 02 | Janela 2016 a 2020: Coef. angular: 46.36 mm/ano, Intercepto: -93375.36, R²: 0.5526
Mês 02 | Janela 2017 a 2021: Coef. angular: -8.58 mm/ano, Intercepto: 17520.26, R²: 0.0388
Mês 02 | Janela 2018 a 2022: Coef. angular: -10.36 mm/ano, Intercepto: 21134.28, R²: 0.0576
Mês 02 | Janela 2019 a 2023: Coef. angular: 6.90 mm/ano, Intercepto: -13748.22, R²: 0.0317
Mês 02 | Janela 2020 a 2024: Coef. angular: -29.88 mm/ano, Intercepto: 60601.20, R²: 0.3646
Mês 03 | Janela 2015 a 2019: Coef. angular: -23.62 mm/ano, Intercepto: 47800.26, R²: 0.6192
Mês 03 | Janela 2016 a 2020: Coef. angular: -32.10 mm/ano, Intercepto: 64919.60, R²: 0.8673
Mês 03 | Janela 2017 a 2021: Coef. angular: -15.14 mm/ano, Intercepto: 30698.42, R²: 0.2818
Mês 03 | Janela 2018 a 2022: Coef. angular: -19.58 mm/ano, Intercepto: 39642.40, R²: 0.3281
Mês 03 | Janela 2019 a 2023: Coef. angular: 0.30 mm/ano, Intercepto: -512.22, R²: 0.0001
Mês 03 | Janela 2020 a 2024: Coef. angular: 7.66 mm/ano, Intercepto: -15387.24, R²: 0.0418
Mês 04 | Janela 2015 a 2019: Coef. angular: 27.72 mm/ano, Intercepto: -55782.80, R²: 0.1782
Mês 04 | Janela 2016 a 2020: Coef. angular: 26.18 mm/ano, Intercepto: -52710.12, R²: 0.1581
Mês 04 | Janela 2017 a 2021: Coef. angular: 2.82 mm/ano, Intercepto: -5581.06, R²: 0.0017
Mês 04 | Janela 2018 a 2022: Coef. angular: -27.56 mm/ano, Intercepto: 55777.40, R²: 0.1483
Mês 04 | Janela 2019 a 2023: Coef. angular: -33.94 mm/ano, Intercepto: 68723.86, R²: 0.2399
Mês 04 | Janela 2020 a 2024: Coef. angular: 10.32 mm/ano, Intercepto: -20777.40, R²: 0.0942
Mês 05 | Janela 2015 a 2019: Coef. angular: 1.46 mm/ano, Intercepto: -2912.46, R²: 0.0177
Mês 05 | Janela 2016 a 2020: Coef. angular: 13.56 mm/ano, Intercepto: -27327.84, R²: 0.8567
Mês 05 | Janela 2017 a 2021: Coef. angular: -0.42 mm/ano, Intercepto: 885.66, R²: 0.0010
Mês 05 | Janela 2018 a 2022: Coef. angular: -8.56 mm/ano, Intercepto: 17321.88, R²: 0.2541
Mês 05 | Janela 2019 a 2023: Coef. angular: -12.22 mm/ano, Intercepto: 24725.58, R²: 0.4962
Mês 05 | Janela 2020 a 2024: Coef. angular: -12.88 mm/ano, Intercepto: 26063.44, R²: 0.5306
Mês 06 | Janela 2015 a 2019: Coef. angular: -0.30 mm/ano, Intercepto: 606.66, R²: 0.0506
Mês 06 | Janela 2016 a 2020: Coef. angular: -0.96 mm/ano, Intercepto: 1938.76, R²: 0.4890
Mês 06 | Janela 2017 a 2021: Coef. angular: 2.14 mm/ano, Intercepto: -4317.74, R²: 0.4235
Mês 06 | Janela 2018 a 2022: Coef. angular: 7.96 mm/ano, Intercepto: -16069.00, R²: 0.6631
Mês 06 | Janela 2019 a 2023: Coef. angular: 7.48 mm/ano, Intercepto: -15103.56, R²: 0.6058
Mês 06 | Janela 2020 a 2024: Coef. angular: 0.72 mm/ano, Intercepto: -1442.32, R²: 0.0056
Mês 07 | Janela 2015 a 2019: Coef. angular: -5.88 mm/ano, Intercepto: 11866.12, R²: 0.5031
Mês 07 | Janela 2016 a 2020: Coef. angular: -0.08 mm/ano, Intercepto: 161.68, R²: 0.1250
Mês 07 | Janela 2017 a 2021: Coef. angular: -0.20 mm/ano, Intercepto: 404.04, R²: 0.7812
Mês 07 | Janela 2018 a 2022: Coef. angular: -0.08 mm/ano, Intercepto: 161.68, R²: 0.5000
Mês 07 | Janela 2019 a 2023: Coef. angular: 0.00 mm/ano, Intercepto: 0.00, R²: 1.0000
Mês 07 | Janela 2020 a 2024: Coef. angular: 0.00 mm/ano, Intercepto: 0.00, R²: 1.0000
Mês 08 | Janela 2015 a 2020: Coef. angular: -3.68 mm/ano, Intercepto: 7440.96, R²: 0.1211
Mês 08 | Janela 2016 a 2021: Coef. angular: -8.57 mm/ano, Intercepto: 17308.00, R²: 0.7622
Mês 08 | Janela 2017 a 2022: Coef. angular: 1.60 mm/ano, Intercepto: -3226.95, R²: 0.0380
Mês 08 | Janela 2018 a 2023: Coef. angular: 3.58 mm/ano, Intercepto: -7225.45, R²: 0.1778
Mês 08 | Janela 2020 a 2024: Coef. angular: 0.78 mm/ano, Intercepto: -1567.00, R²: 0.0053
Mês 09 | Janela 2015 a 2019: Coef. angular: 5.20 mm/ano, Intercepto: -10461.00, R²: 0.0983
Mês 09 | Janela 2016 a 2020: Coef. angular: -1.32 mm/ano, Intercepto: 2686.84, R²: 0.0053
Mês 09 | Janela 2017 a 2021: Coef. angular: -1.58 mm/ano, Intercepto: 3215.58, R²: 0.0076
Mês 09 | Janela 2018 a 2022: Coef. angular: -3.78 mm/ano, Intercepto: 7670.44, R²: 0.0494
Mês 09 | Janela 2019 a 2023: Coef. angular: 7.24 mm/ano, Intercepto: -14604.76, R²: 0.4273
Mês 09 | Janela 2020 a 2024: Coef. angular: 1.54 mm/ano, Intercepto: -3089.56, R²: 0.0152
Mês 10 | Janela 2015 a 2019: Coef. angular: 12.70 mm/ano, Intercepto: -25509.78, R²: 0.0930
Mês 10 | Janela 2016 a 2020: Coef. angular: -5.92 mm/ano, Intercepto: 12064.12, R²: 0.0268
Mês 10 | Janela 2017 a 2021: Coef. angular: 12.56 mm/ano, Intercepto: -25258.52, R²: 0.2379
Mês 10 | Janela 2018 a 2022: Coef. angular: -8.14 mm/ano, Intercepto: 16548.48, R²: 0.1530
Mês 10 | Janela 2019 a 2023: Coef. angular: -23.90 mm/ano, Intercepto: 48401.26, R²: 0.9035
Mês 10 | Janela 2020 a 2024: Coef. angular: -16.66 mm/ano, Intercepto: 33762.40, R²: 0.9499
Mês 11 | Janela 2015 a 2019: Coef. angular: 12.26 mm/ano, Intercepto: -24523.22, R²: 0.0127
Mês 11 | Janela 2016 a 2020: Coef. angular: -34.14 mm/ano, Intercepto: 69088.92, R²: 0.0906
Mês 11 | Janela 2017 a 2021: Coef. angular: -12.02 mm/ano, Intercepto: 24462.70, R²: 0.0112
Mês 11 | Janela 2018 a 2022: Coef. angular: -70.30 mm/ano, Intercepto: 142192.60, R²: 0.3591
Mês 11 | Janela 2019 a 2023: Coef. angular: -7.90 mm/ano, Intercepto: 16062.90, R²: 0.0242
Mês 11 | Janela 2020 a 2024: Coef. angular: -20.38 mm/ano, Intercepto: 41306.68, R²: 0.1631
Mês 12 | Janela 2015 a 2019: Coef. angular: -4.70 mm/ano, Intercepto: 9667.38, R²: 0.0242
Mês 12 | Janela 2016 a 2020: Coef. angular: -33.22 mm/ano, Intercepto: 67219.56, R²: 0.8843
Mês 12 | Janela 2017 a 2021: Coef. angular: -9.68 mm/ano, Intercepto: 19718.96, R²: 0.0998
Mês 12 | Janela 2018 a 2022: Coef. angular: -14.30 mm/ano, Intercepto: 29040.64, R²: 0.1814
Mês 12 | Janela 2019 a 2023: Coef. angular: -12.54 mm/ano, Intercepto: 25469.86, R²: 0.1529
Mês 12 | Janela 2020 a 2024: Coef. angular: -11.00 mm/ano, Intercepto: 22367.12, R²: 0.1181
